CSDUID,CSDNAME,CSDTYPE,OMEC_LAT,OMEC_LON,OMEC_RAD_M
5924818,Squirrel Cove 8,IRI,50.144639718835506,-124.92050539331474,337.5450030064597
5924820,Tork 7,IRI,50.12892800715005,-124.93407848825464,1223.8718340366167
5924833,Oclucje 7,IRI,49.98916238627229,-126.94075457136647,304.3044057560864
5924835,Tsa Xana 18,IRI,49.813903361571256,-126.07472693257186,1439.2724353408823
5924836,Ehatis 11,IRI,49.98277260843528,-126.86109281554727,392.1415719389678
5924840,Homalco 9,IRI,49.95046099819333,-125.24324822722444,800.3229023024044
5924843,Nenagwas 12,IRI,49.91219130063823,-125.2091813129237,1158.0278997643686
5926005,Comox,T,49.695800673255405,-124.91082153478348,3725.818291274965
5926010,Courtenay,CY,49.695652384756634,-124.96259648137897,5382.620180999003
5926014,Cumberland,VL,49.62147179602594,-125.05066518497375,4931.151640258252
5926021,Comox Valley A,RDA,49.53857921802744,-124.86969740060401,21394.608449997704
5926022,Comox Valley B (Lazo North),RDA,49.7241018847426,-124.97375352976911,8454.04568751694
5926024,Comox Valley C (Puntledge - Black Creek),RDA,49.70494524743445,-125.25002838706017,24503.584214474664
5926801,Comox 1,IRI,49.67920370536985,-124.95331335540152,616.5148985758461
5926802,Pentledge 2,IRI,49.697252937237316,-125.00358053118184,881.8765172839758
5927008,Powell River,CY,49.855424478305075,-124.54039686055357,6517.399517418035
5927010,qathet A,RDA,50.32364462147019,-124.35032012990357,60702.531926806
5927012,qathet B,RDA,49.89345540033132,-124.4376794472526,13410.600027899869
5927016,qathet C,RDA,49.89659066927071,-124.26510155871303,18234.64810372128
5927018,qathet D,RDA,49.64620221973278,-124.38014424793253,25108.789418044245
5927020,qathet E,RDA,49.46880746202113,-124.2997572732258,10168.265301376345
5927802,Sliammon 1,TAL,49.90998385554613,-124.61091415596839,2645.988226560067
5927806,Sechelt (Part),IGD,49.77472022456962,-124.33395134101222,459.1057858027156
5929005,Gibsons,T,49.40183302859099,-123.5189593463606,1636.4491126639173
5929011,Sechelt,DM,49.48623404303963,-123.74711670492593,7532.054540968387
5929018,Sunshine Coast A,RDA,49.95975253169798,-124.00599393865164,45311.435918293995
5929022,Sunshine Coast B,RDA,49.66153264845233,-123.65414907937335,31518.394253049777
5929024,Sunshine Coast D,RDA,49.50579253842971,-123.61660958640508,11995.133454502018
5929026,Sunshine Coast E,RDA,49.421065444406,-123.54553983812727,4315.1351289887425
5929028,Sunshine Coast F,RDA,49.50659763303682,-123.40741089023214,18105.876694610048
5929801,Chekwelp 26,IRI,49.40842519605221,-123.4988004551436,350.32752270227684
5929803,Sechelt (Part),IGD,49.760923159219594,-123.92280528410556,50812.508261205316
5931006,Squamish,DM,49.76250987798174,-123.17510131686797,14067.850102448327
5931012,Pemberton,VL,50.31732797241332,-122.8613868848763,9946.536582447343
5931017,Squamish-Lillooet C,RDA,50.47954978838446,-123.04007939731416,68008.36875261345
5931020,Whistler,DM,50.090478982977146,-123.00587544966812,11738.699179389401
